player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Erling Haaland,Man City,FWD,15.0,151,16,8.9,73.9,19,4,1462,9,15,0,0,1,0,0,0,31,772.2,116.3,889.0,177.9,8.2,8,0.5,10.1,6443736,837434,21571,1686,1.0,-1.0,0.0,0.0,16.02,1.09,17.11,18.44,17,7,31,19,57,3.51,,1,1,153,11,1,1,1,1,,,,,1.0,,0.99,0.0,0.07,1.06,1.14,0.92,1,1,4,1,1,1,1,1,1.05,0.55
Antoine Semenyo,Bournemouth,MID,7.7,99,10,6.2,45.6,8,4,1440,5,27,0,0,1,0,4,0,12,457.4,311.6,475.0,124.6,4.0,3,0.5,12.9,8431884,4227975,83535,21108,0.7,-0.7,0.1,-0.1,5.41,1.71,7.12,22.36,16,25,18,81,124,7.75,,8,2,34,32,6,2,4,3,,,4.0,,3.0,,0.34,0.0,0.11,0.45,1.4,1.69,20,14,65,31,4,1,2,1,1.0,0.31
Bruno B.Fernandes,Man Utd,MID,9.4,99,1,5.8,30.6,5,7,1475,1,27,0,0,2,0,2,0,17,599.0,741.2,331.0,167.4,8.2,3,0.9,10.5,3770967,2638638,83106,59856,0.4,-0.4,0.1,-0.1,7.01,4.15,11.16,22.18,17,29,48,96,173,10.56,,2,1,1,1,24,13,2,1,1.0,,1.0,,1.0,,0.43,0.0,0.25,0.68,1.35,1.65,6,4,3,3,10,4,9,3,1.04,0.06
Declan Rice,Arsenal,MID,7.1,97,11,5.7,23.0,2,6,1425,8,10,0,0,0,0,1,0,15,423.6,512.8,163.0,110.0,5.3,3,0.7,13.7,3495602,1737749,88979,12894,0.6,-0.6,0.0,0.0,1.82,3.42,5.24,9.32,16,28,60,84,172,10.86,,12,4,3,3,85,52,12,10,1.0,,1.0,,,,0.11,0.0,0.22,0.33,0.59,0.63,33,19,17,10,11,5,14,4,1.01,0.51
Trevoh Chalobah,Chelsea,DEF,5.5,94,3,5.9,19.0,3,1,1380,8,16,0,0,0,0,2,1,7,418.0,77.0,134.0,62.9,6.5,2,1.2,17.1,3112740,1071419,48725,17128,0.5,-0.5,0.0,0.0,0.92,0.65,1.57,18.55,16,24,113,62,137,8.93,,15,6,212,56,111,16,78,18,,,,,,,0.06,0.0,0.04,0.1,1.21,1.04,138,16,8,1,8,3,18,6,1.04,0.52
Marc Guéhi,Crystal Palace,DEF,5.3,93,1,5.8,41.5,2,4,1440,6,19,0,0,0,0,3,0,8,406.8,126.4,151.0,68.4,4.8,3,0.9,17.5,4709698,1197958,34195,32489,0.8,-0.8,0.0,0.0,1.29,1.42,2.71,21.05,16,27,104,62,131,8.19,,21,8,142,35,97,13,62,12,,,,,,,0.08,0.0,0.09,0.17,1.32,1.19,191,28,28,9,9,4,3,1,1.0,0.38
Phil Foden,Man City,MID,8.9,91,3,6.1,40.0,7,2,1225,8,11,0,0,0,0,3,0,10,412.6,511.6,292.0,121.4,10.0,3,1.1,10.2,5525991,784739,68019,21888,0.9,-0.9,0.0,0.0,4.03,2.64,6.67,14.85,14,20,17,58,95,6.98,,17,5,4,4,31,18,5,4,1.0,,3.0,,,,0.3,0.0,0.19,0.49,1.09,0.81,7,5,1,1,5,2,4,2,1.03,0.59
Morgan Rogers,Aston Villa,MID,7.1,91,15,5.4,15.4,7,3,1516,5,18,0,0,0,0,2,0,10,412.4,258.1,367.0,103.6,9.3,3,1.3,12.8,2300831,1496638,156192,12960,0.1,-0.1,0.0,0.0,2.31,1.58,3.89,23.17,17,18,26,61,105,6.23,,18,6,46,38,14,6,16,14,,,,,,,0.14,0.0,0.09,0.23,1.38,1.07,34,20,2,2,14,6,22,8,1.01,0.3
Daniel Muñoz,Crystal Palace,DEF,5.9,89,0,6.4,9.1,3,3,1260,7,11,0,0,0,0,4,0,7,336.0,128.1,240.0,70.2,4.8,2,0.8,15.1,3170584,3151201,829,93718,0.4,-0.4,0.0,0.0,1.78,1.99,3.77,16.81,14,31,70,54,101,7.21,Knee injury - Expected back 17 Jan,52,24,138,34,49,2,55,8,,,,,,,0.13,0.0,0.14,0.27,1.2,0.79,99,6,29,10,3,2,46,16,1.0,0.5
Jurriën J.Timber,Arsenal,DEF,6.5,86,6,5.1,33.3,2,3,1377,7,10,0,0,0,0,2,0,7,311.2,228.9,279.0,82.1,3.2,2,0.5,13.2,5025888,1551857,36003,18565,1.0,-1.0,0.0,0.0,3.76,0.81,4.57,8.76,15,43,43,57,86,5.62,,73,32,61,13,35,1,32,2,,,,,,,0.25,0.0,0.05,0.3,0.57,0.65,51,1,113,41,21,10,8,2,0.98,0.46
Bruno Bruno G.,Newcastle,MID,7.0,84,2,5.2,14.2,5,4,1389,4,22,0,0,0,0,4,0,12,384.2,335.7,173.0,89.3,5.7,1,0.8,12.0,2181189,664187,30150,61454,0.5,-0.5,0.0,0.0,2.28,1.55,3.83,17.56,15,31,29,79,139,9.01,,26,7,25,24,80,49,27,21,,,,,,,0.15,0.0,0.1,0.25,1.14,1.43,37,22,12,6,17,8,27,11,0.97,0.26
Igor Thiago Thiago,Brentford,FWD,7.1,84,2,4.9,34.5,11,0,1401,3,23,0,0,1,0,3,0,12,467.6,125.2,511.0,110.4,4.0,3,0.6,11.8,5561190,1360217,13675,330910,1.1,-1.1,-0.1,0.1,9.0,0.33,9.33,21.24,16,15,37,33,85,5.46,,7,2,143,9,4,3,10,2,,,,,2.0,,0.58,0.0,0.02,0.6,1.36,1.48,35,15,64,7,25,2,6,2,1.03,0.19
Maxence Lacroix,Crystal Palace,DEF,5.2,82,1,4.8,7.1,0,2,1530,7,19,0,0,0,0,2,0,4,393.6,47.6,70.0,51.0,4.3,1,0.8,15.8,1219409,535308,9668,20853,0.2,-0.2,0.0,0.0,0.57,0.26,0.83,21.43,17,37,146,51,183,10.76,,25,11,276,86,206,50,116,39,,,,,,,0.03,0.0,0.02,0.05,1.26,1.12,214,32,46,18,30,14,60,21,1.0,0.41
Rúben Rúben,Man City,DEF,5.7,81,6,4.8,7.1,2,0,1445,8,15,0,0,0,0,0,0,3,404.4,78.2,61.0,54.5,6.0,1,1.1,14.2,779395,409965,26983,4175,0.2,-0.2,0.0,0.0,0.42,0.41,0.83,17.8,16,7,105,45,112,6.98,,22,9,210,54,230,63,102,29,,,,,,,0.03,0.0,0.03,0.06,1.11,0.93,114,9,10,2,31,15,59,20,1.0,0.5
Gabriel Gabriel,Arsenal,DEF,6.2,81,0,7.4,12.7,1,2,990,7,5,0,0,0,0,1,0,13,318.6,62.6,88.0,46.9,0.0,3,0.0,13.1,3888229,4825722,1214,25421,0.2,-0.2,0.0,0.0,0.82,0.69,1.51,6.17,11,12,88,15,100,9.09,Thigh injury - 25% chance of playing,64,28,242,71,179,38,141,51,,,,,,,0.07,0.0,0.06,0.13,0.56,0.45,77,3,754,253,2,1,30,10,1.0,0.64
Michael Keane,Everton,DEF,4.7,81,4,5.1,3.7,2,0,1414,5,20,0,0,0,0,0,0,6,418.4,24.5,131.0,57.3,4.2,1,0.9,17.2,613660,225525,47987,2654,0.2,-0.2,0.1,-0.1,1.16,0.13,1.29,23.8,16,16,144,45,160,10.18,,14,5,335,114,114,18,92,23,,,,,,,0.07,0.0,0.01,0.08,1.51,1.27,370,64,52,20,19,8,94,34,1.02,0.32
Robin Roefs,Sunderland,GKP,4.8,80,7,4.7,9.3,0,0,1530,6,17,0,1,0,59,2,0,9,471.8,40.0,0.0,51.1,4.0,3,0.8,16.7,1378342,392530,29958,2492,0.3,-0.3,0.0,0.0,0.0,0.03,0.03,22.36,17,0,15,175,0,0.0,,6,1,292,2,695,76,115,1,,,,,,,0.0,3.47,0.0,0.0,1.32,1.0,362,16,60,6,36,2,44,6,1.0,0.35
Harry Wilson,Fulham,MID,5.7,78,0,5.2,19.2,5,5,1066,3,17,0,0,0,0,2,0,11,317.0,239.5,241.0,79.5,7.3,1,1.3,13.7,2458440,148122,137361,5984,0.2,-0.2,0.0,0.0,2.38,1.64,4.02,13.88,13,15,26,38,79,6.67,,69,21,56,46,48,31,37,28,3.0,,3.0,,3.0,,0.2,0.0,0.14,0.34,1.17,1.44,113,74,6,4,15,7,17,6,1.1,0.25
Pedro Neto,Chelsea,MID,7.3,78,2,4.6,9.2,5,3,1324,8,10,0,0,0,0,2,0,6,342.4,425.8,337.0,110.7,4.3,1,0.6,10.7,1645115,1038850,14767,32049,0.3,-0.3,0.0,0.0,3.09,3.12,6.21,17.83,16,9,10,47,66,4.49,,43,11,11,11,23,12,9,8,1.0,,4.0,,,,0.21,0.0,0.21,0.42,1.21,0.68,27,18,49,21,43,16,45,17,1.09,0.54
Bukayo Saka,Arsenal,MID,10.3,78,3,5.2,22.4,4,4,1148,6,7,0,0,0,0,1,0,8,321.8,428.7,393.0,114.4,5.5,1,0.5,7.6,3471994,2574382,15874,57152,0.3,-0.3,0.0,0.0,4.21,3.73,7.94,7.26,13,21,7,65,93,7.29,,62,17,9,9,10,4,7,6,2.0,,,,1.0,,0.33,0.0,0.29,0.62,0.57,0.55,5,3,15,8,18,9,16,5,1.02,0.47
Hugo Ekitiké,Liverpool,FWD,8.8,77,9,4.8,25.6,8,1,953,4,14,0,0,0,0,0,0,16,332.8,132.2,369.0,82.4,6.3,2,0.7,8.8,4850273,3987501,330411,4168,0.3,-0.3,0.1,-0.1,4.49,0.44,4.93,14.51,11,6,20,22,48,4.53,,57,6,134,8,13,8,31,7,,,,,,,0.42,0.0,0.04,0.46,1.37,1.32,9,4,9,3,34,4,12,4,1.04,0.38
